Years,General merchandise ($),Foods feeds and beverages ($),Industrial supplies and materials ($),Capital goods except automotive ($),Automotive vehicles parts and engines ($),Consumer goods except food and automotive ($),Maintenance and repair services ($),Transport ($),Travel (for all purposes including education) ($),Construction ($),Insurance services ($),Financial services ($),Charges for the use of intellectual property ($),Telecommunications computer and information services ($),Other business services ($),Personal cultural and recreational services ($),Government goods and services ($)
1999,692924000000,45977000000,145724000000,311249000000,75256000000,80867000000,3656000000,46302000000,89146000000,3974000000,3052000000,25998000000,39913000000,12320000000,36415000000,9007000000,8218000000
2000,778718000000,47871000000,171108000000,357000000000,80356000000,89305000000,4423000000,49462000000,96872000000,1993000000,3631000000,29192000000,43476000000,12250000000,38217000000,9351000000,9156000000
2001,726283000000,49407000000,159469000000,321724000000,75435000000,88285000000,5191000000,45965000000,86408000000,2608000000,3424000000,27500000000,41005000000,12862000000,41250000000,9631000000,8191000000
2002,694069000000,49616000000,157282000000,290437000000,78942000000,84323000000,5368000000,45954000000,79625000000,3128000000,4415000000,29903000000,44815000000,12487000000,44625000000,10089000000,7653000000
2003,725018000000,55026000000,173272000000,293673000000,80633000000,89877000000,5073000000,46701000000,76983000000,2377000000,5974000000,33499000000,47308000000,14099000000,46171000000,10522000000,9033000000
2004,817516000000,56570000000,206274000000,327540000000,89213000000,103195000000,5181000000,54419000000,85648000000,2253000000,7314000000,42767000000,56943000000,15009000000,51609000000,11409000000,11985000000
2005,906104000000,58955000000,236812000000,358426000000,98406000000,115228000000,6652000000,58377000000,93423000000,1489000000,7566000000,47405000000,64466000000,15568000000,56846000000,11114000000,15582000000
2006,1030589000000,65962000000,279120000000,404026000000,107263000000,129034000000,7106000000,64026000000,96148000000,1856000000,9445000000,56522000000,70999000000,17242000000,65990000000,14532000000,19222000000
2007,1150198000000,84264000000,316284000000,433019000000,121264000000,145863000000,8899000000,70837000000,106918000000,2774000000,10867000000,73980000000,84498000000,20339000000,79366000000,16265000000,20921000000
2008,1288516000000,108349000000,386917000000,457655000000,121451000000,161157000000,9362000000,78237000000,117030000000,4072000000,13491000000,79897000000,89672000000,23892000000,89975000000,16080000000,19084000000
2009,1055433000000,93908000000,293540000000,391498000000,81715000000,149287000000,11573000000,65806000000,110757000000,4260000000,14594000000,73844000000,85730000000,24925000000,93508000000,16926000000,20538000000
2010,1271972000000,107719000000,388561000000,447839000000,112008000000,164909000000,13111000000,76357000000,130315000000,2951000000,14854000000,86512000000,94968000000,26556000000,99595000000,17612000000,19210000000
2011,1463637000000,126247000000,485258000000,494202000000,133036000000,174719000000,14739000000,82930000000,142197000000,3187000000,14673000000,101077000000,107053000000,29376000000,108423000000,19538000000,21470000000
2012,1524790000000,133049000000,483232000000,527459000000,146158000000,180994000000,14944000000,88238000000,153921000000,3234000000,15978000000,105419000000,107869000000,33522000000,118451000000,21098000000,22148000000
2013,1559363000000,136163000000,492422000000,534757000000,152661000000,188093000000,15720000000,89999000000,170979000000,2213000000,15653000000,109794000000,113824000000,36325000000,122166000000,20888000000,21852000000
2014,1612611000000,143721000000,500677000000,551758000000,159812000000,198398000000,17978000000,90687000000,180265000000,2070000000,16624000000,119933000000,116380000000,38629000000,132240000000,22551000000,19693000000
2015,1489795000000,127721000000,418141000000,539805000000,151894000000,197318000000,19847000000,84434000000,192602000000,2759000000,15763000000,114951000000,111151000000,41427000000,141421000000,24220000000,20087000000
2016,1436552000000,130515000000,387600000000,520001000000,150398000000,193258000000,21587000000,81779000000,192868000000,1690000000,16663000000,114762000000,112981000000,43122000000,153089000000,23626000000,18777000000
2017,1535249000000,132761000000,459380000000,533696000000,157867000000,197190000000,23239000000,86342000000,196469000000,2053000000,18976000000,128035000000,118147000000,47657000000,167270000000,25664000000,19924000000
2018,1654629000000,133144000000,536866000000,563438000000,158833000000,205513000000,28036000000,93107000000,200724000000,2842000000,19118000000,132448000000,114819000000,49245000000,176540000000,22715000000,22131000000
2019,1632230000000,130993000000,526410000000,547954000000,162752000000,204976000000,27698000000,91017000000,199364000000,3127000000,18528000000,136046000000,115529000000,54766000000,185573000000,22193000000,22453000000
2020,1403785000000,139335000000,450372000000,460493000000,127918000000,173974000000,13278000000,56706000000,72813000000,2349000000,20431000000,144343000000,113779000000,56682000000,183180000000,20442000000,21642000000
2021,1729328000000,165216000000,615497000000,519783000000,143603000000,221557000000,12048000000,65044000000,68759000000,2797000000,22672000000,164088000000,124827000000,58142000000,206542000000,22965000000,23364000000
